KOD;ROK;POHL;VEKKAT;KRAJ;HOSP
A101;2010;2;65-74;51;21
A101;2010;2;65-74;52;15
A101;2010;2;65-74;53;22
A101;2010;2;65-74;63;26
A101;2010;2;65-74;64;51
A101;2010;2;65-74;71;10
A101;2010;2;65-74;72;33
A101;2010;2;65-74;80;33
A101;2010;2;75+;10;41
A101;2010;2;75+;20;35
A101;2010;2;75+;31;37
A101;2010;2;75+;32;22
A101;2010;2;75+;41;27
A101;2010;2;75+;42;29
A101;2010;2;75+;51;30
A101;2010;2;75+;52;17
A101;2010;2;75+;53;37
A101;2010;2;75+;63;61
A101;2010;2;75+;64;128
A101;2010;2;75+;71;26
A101;2010;2;75+;72;44
A101;2010;2;75+;80;76
A101;2011;1;15-34;10;19
A101;2011;1;15-34;20;37
A101;2011;1;15-34;31;27
A101;2011;1;15-34;32;48
A101;2011;1;15-34;41;17
A101;2011;1;15-34;42;28
A101;2011;1;15-34;51;14
A101;2011;1;15-34;52;11
A101;2011;1;15-34;53;25
A101;2011;1;15-34;63;43
A101;2011;1;15-34;64;39
A101;2011;1;15-34;71;11
A101;2011;1;15-34;72;56
A101;2011;1;15-34;80;34
A101;2011;1;35-44;10;4
A101;2011;1;35-44;20;8
A101;2011;1;35-44;31;7
A101;2011;1;35-44;32;11
A101;2011;1;35-44;41;2
A101;2011;1;35-44;42;8
A101;2011;1;35-44;51;6
A101;2011;1;35-44;52;4
A101;2011;1;35-44;53;2
A101;2011;1;35-44;63;8
A101;2011;1;35-44;64;9
A101;2011;1;35-44;71;3
A101;2011;1;35-44;72;16
A101;2011;1;35-44;80;8
A101;2011;1;45-54;10;4
A101;2011;1;45-54;20;9
A101;2011;1;45-54;31;8
A101;2011;1;45-54;32;5
A101;2011;1;45-54;41;3
A101;2011;1;45-54;42;4
A101;2011;1;45-54;51;5
A101;2011;1;45-54;52;4
A101;2011;1;45-54;53;2
A101;2011;1;45-54;63;8
A101;2011;1;45-54;64;9
A101;2011;1;45-54;71;1
A101;2011;1;45-54;72;12
A101;2011;1;45-54;80;6
A101;2011;1;55-64;10;7
A101;2011;1;55-64;20;17
A101;2011;1;55-64;31;14
A101;2011;1;55-64;32;10
A101;2011;1;55-64;41;7
A101;2011;1;55-64;42;15
A101;2011;1;55-64;51;9
A101;2011;1;55-64;52;10
A101;2011;1;55-64;53;5
A101;2011;1;55-64;63;17
A101;2011;1;55-64;64;22
A101;2011;1;55-64;71;14
A101;2011;1;55-64;72;23
A101;2011;1;55-64;80;25
A101;2011;1;65-74;10;7
A101;2011;1;65-74;20;23
A101;2011;1;65-74;31;13
A101;2011;1;65-74;32;22
A101;2011;1;65-74;41;9
A101;2011;1;65-74;42;10
A101;2011;1;65-74;51;15
A101;2011;1;65-74;52;11
A101;2011;1;65-74;53;17
A101;2011;1;65-74;63;22
A101;2011;1;65-74;64;32
A101;2011;1;65-74;71;11
A101;2011;1;65-74;72;24
A101;2011;1;65-74;80;37
A101;2011;1;75+;10;29
A101;2011;1;75+;20;37
A101;2011;1;75+;31;15
A101;2011;1;75+;32;24
A101;2011;1;75+;41;8
A101;2011;1;75+;42;9
A101;2011;1;75+;51;15
A101;2011;1;75+;52;18
A101;2011;1;75+;53;27
A101;2011;1;75+;63;37
A101;2011;1;75+;64;64
A101;2011;1;75+;71;13
A101;2011;1;75+;72;29
A101;2011;1;75+;80;45
A101;2011;2;15-34;10;24
A101;2011;2;15-34;20;51
A101;2011;2;15-34;31;27
A101;2011;2;15-34;32;84
A101;2011;2;15-34;41;29
A101;2011;2;15-34;42;31
A101;2011;2;15-34;51;36
A101;2011;2;15-34;52;37
A101;2011;2;15-34;53;17
A101;2011;2;15-34;63;51
A101;2011;2;15-34;64;57
A101;2011;2;15-34;71;17
A101;2011;2;15-34;72;104
A101;2011;2;15-34;80;64
A101;2011;2;35-44;10;6
A101;2011;2;35-44;20;12
A101;2011;2;35-44;31;11
A101;2011;2;35-44;32;17
A101;2011;2;35-44;41;11
A101;2011;2;35-44;42;8
A101;2011;2;35-44;51;12
A101;2011;2;35-44;52;2
A101;2011;2;35-44;53;8
A101;2011;2;35-44;63;12
A101;2011;2;35-44;64;13
A101;2011;2;35-44;71;4
A101;2011;2;35-44;72;18
A101;2011;2;35-44;80;10
A101;2011;2;45-54;10;10
A101;2011;2;45-54;20;9
A101;2011;2;45-54;31;13
A101;2011;2;45-54;32;14
A101;2011;2;45-54;41;8
